Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Tue Dec  6 00:57:51 2022
| Host         : ubuntu running 64-bit Ubuntu 16.04.7 LTS
| Command      : report_high_fanout_nets -file /home/wxrqw/rocket/freedom-configsty/builds/vc707-u500devkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : VC707PCIeShell
| Device       : xc7vx485t
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. LoadTypewise Fanout Summary
------------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                     |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                            | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
| topDesign/topMod/tile/accumulator/co_core/_T_826[1]                                                                                                                 |   1030 | RAMB36E1    |           4.755 |           3.421 |     0 |  0 |              0 |     0 |  0 |              0 |  1030 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/m_res_en[0]                                                                                                               |   1029 | RAMB36E1    |           6.360 |           8.745 |     0 |  0 |              0 |     0 |  0 |              0 |  1029 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/m_res_en[1]                                                                                                               |   1029 | RAMB36E1    |           6.184 |           7.752 |     0 |  0 |              0 |     0 |  0 |              0 |  1029 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/wdf_rdy_ns                                                            |    784 | LUT6        |           1.032 |           2.392 |   768 |  0 |              0 |     0 |  0 |              0 |    16 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/write_buffer.wr_buffer_ram[0].RAM32M0_i_10_n_0                        |    768 | LUT4        |           1.124 |           1.603 |     0 |  0 |              0 |     0 |  0 |              0 |   768 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/write_buffer.wr_buffer_ram[0].RAM32M0_i_11_n_0                        |    768 | LUT4        |           1.032 |           2.034 |     0 |  0 |              0 |     0 |  0 |              0 |   768 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/write_buffer.wr_buffer_ram[0].RAM32M0_i_12_n_0                        |    768 | LUT5        |           0.959 |           3.342 |     0 |  0 |              0 |     0 |  0 |              0 |   768 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/write_buffer.wr_buffer_ram[0].RAM32M0_i_8_n_0                         |    768 | LUT4        |           1.136 |           1.552 |     0 |  0 |              0 |     0 |  0 |              0 |   768 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/write_buffer.wr_buffer_ram[0].RAM32M0_i_9_n_0                         |    768 | LUT4        |           1.158 |           1.723 |     0 |  0 |              0 |     0 |  0 |              0 |   768 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[2]                                                                                                              |    697 | RAMB36E1    |           5.667 |           4.501 |     0 |  0 |              0 |     0 |  0 |              0 |   697 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/mem_intfc0/mc0/col_mach0/read_fifo.fifo_out_data_r_reg[7]_0[1]                             |    690 | FDRE        |           1.350 |           3.350 |     0 |  0 |              0 |     0 |  0 |              0 |   690 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/mem_intfc0/mc0/col_mach0/read_fifo.fifo_out_data_r_reg[7]_0[2]                             |    690 | FDRE        |           1.365 |           3.286 |     0 |  0 |              0 |     0 |  0 |              0 |   690 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/mem_intfc0/mc0/col_mach0/read_fifo.fifo_out_data_r_reg[7]_0[3]                             |    690 | FDRE        |           1.543 |           3.115 |     0 |  0 |              0 |     0 |  0 |              0 |   690 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/mem_intfc0/mc0/col_mach0/read_fifo.fifo_out_data_r_reg[7]_0[4]                             |    690 | FDRE        |           1.866 |           2.708 |     0 |  0 |              0 |     0 |  0 |              0 |   690 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/mem_intfc0/mc0/col_mach0/read_fifo.fifo_out_data_r_reg[7]_0[5]                             |    690 | FDRE        |           0.679 |           3.875 |     0 |  0 |              0 |     0 |  0 |              0 |   690 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/mem_intfc0/ddr_phy_top0/u_ddr_calib_top/u_ddr_phy_init/rd_buf_indx.ram_init_done_r_lcl_reg |    689 | LUT2        |           0.815 |           0.801 |   688 |  0 |              0 |     0 |  0 |              0 |     1 |  0 |              0 |     0 |  0 |              0 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+


